Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	adjg	207176	Assumed Knowledge and Implicit Information [26687]	I made the first account	1	Luke assumes that Theophilus will know that by **the first account** he means the book that has become known as the Gospel of Luke. Since that book was not known by that title at this time, it would not be accurate to put the title in your translation as a name that Luke would have used to describe the book to Theophilus. However, you could explain this in a footnote and use another expression here. Alternate translation: “I wrote in my first volume”
1:1	rcpb	207177		O Theophilus	1	Here Luke is identifying and addressing the man for whom he complied this account of the early church. Since this is like the salutation of a letter, in your translation you may wish to follow your culture’s way of identifying and greeting the addressee of a letter. UST models this by saying “Dear Theophilus” and putting the phrase at the beginning of the sentence.
1:1	b083	207178	How to Translate Names [26805]	Theophilus	1	**Theophilus** is the name of a man. It means “friend of God.” It may be his actual name, or it may describe what this man was like. Most translations treat it as his name.
1:1	nqfj	207179	Making Assumed Knowledge and Implicit Information Explicit [26688]	about all that Jesus began both to do and to teach	1	Luke is using the word **began** to indicate that Jesus had been doing something else (working as a carpenter) but then began to do something new when he started his ministry. In your language, it might not be necessary to translate the word **began**, since it might seem to convey redundant information that would be not be natural to express. Alternate translation: “all that Jesus both did and taught”
1:1	wwsk	207180	Hyperbole [26695]	about all that Jesus began both to do and to teach	1	This is a generalization for emphasis. Alternate translation: “about some of the most important things that Jesus did and taught”
1:2	owgz	207181	Idiom [26697]	until that day	1	While this did happen on a specific day, Luke is likely using the word **day** to mean a specific time. Alternate translation: “up to the time when”
1:2	qmpa	207182	Active or Passive [26672]	he was taken up	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “God took him up”
1:2	vc74	207183	Assumed Knowledge and Implicit Information [26687]	he was taken up	1	Luke is referring to Jesus being **taken up** into heaven. See the discussion of “Ascension” in the General Notes to this chapter. Alternate translation: “he was taken up into heaven” or “God took him up into heaven”
1:3	at86	207184		to whom also, after he had suffered, he presented himself living with many proofs	1	As the General Notes to this chapter suggest, it be helpful to begin a new sentence here. Alternate translation: “Jesus also presented himself alive with many proofs to his apostles after he had suffered”
1:3	n6ih	207185	Assumed Knowledge and Implicit Information [26687]	after he had suffered	1	This refers to how Jesus suffered and died on the cross. Alternate translation: “after he had suffered and died on the cross”
1:3	bn95	207186	Assumed Knowledge and Implicit Information [26687]	with many proofs	1	The word translated **proofs** describes items of evidence that are decisive and convincing. Alternate translation: “with many definitive proofs”
1:3	ftg1	207187	Assumed Knowledge and Implicit Information [26687]	appearing to them for 40 days and speaking	1	While the antecedent of **whom** is “the apostles whom he had chosen” in the previous verse, Jesus actually appeared to many other disciples besides his apostles. If it would be helpful to your readers, you could indicate that explicitly. It may be helpful to begin a new sentence here. Alternate translation: “For 40 days he appeared to his apostles and many of his other disciples, and he spoke”
1:3	w4sw	207188	Abstract Nouns [26671]	things concerning the kingdom of God	1	See the discussion of the concept of the **kingdom of God** in Part 2 of the General Introduction to Acts. If your language does not use an abstract noun for the idea behind the word **kingdom**, you could express this with a verb such as “rule,” as UST does.
1:4	x24k	207189	Double Negatives [26679]	not to depart from Jerusalem, but	1	If it would be helpful in your language, you could use a positive expression to translate this double negative that consists of the negative particle **not** and the negative verb **depart**. Alternate translation: “to remain in Jerusalem and”
1:4	sowk	207190	Quote Markings [26720]	not to depart from Jerusalem	1	The content of Jesus’ instructions to the apostles on this occasion begins here. If it would be helpful to your readers, you could translate and punctuate the material from here to the end of the verse as a direct quotation, as UST does.
1:4	dwle	207191	Metonymy [26707]	the promise of the Father	1	Jesus is referring to the Holy Spirit by association with the way God made a **promise** to send the Holy Spirit. Alternate translation: “the Holy Spirit, whom the Father promised”
1:4	abej	207192	Translating Son and Father [26763]	of the Father	1	**Father** is an important title for God. Alternate translation: “of God the Father”
1:4	ulaa	207193	Direct and Indirect Quotations [26719]	which you heard from me	1	In keeping with his engaging storytelling style, Luke begins a quotation from Jesus here without introducing it with a formula such as “he said.” If it would be helpful to your readers, you could include an introductory formula in your translation. It may be helpful to begin a new sentence here. Alternate translation: “He said, ‘You heard about this from me’” or “He said, ‘I told you about this’”
1:4	up82	207194	Forms of You [26731]	you heard	1	Here, **you** is plural because Jesus is speaking to the apostles, so use the plural form of “you” in your translation if your language marks that distinction. In 1:6, “you” is singular because Jesus alone is being addressed, so the singular form would be accurate there. In general these notes will not discuss whether **you** is singular or plural when this should be clear from the context, but they will address ambiguous cases where this may not be clear.
